incident_zip,complaint_count,population,complaints_per_1000
11357,104,42341.0,2.4562480810561866
11358,103,36496.0,2.8222270933800964
11360,39,19510.0,1.998974884674526
11361,84,30402.0,2.762976119992106
11362,40,18156.0,2.203128442388191
11363,69,7515.0,9.181636726546905
11364,59,36417.0,1.6201224702748716
11365,51,43258.0,1.1789726755744603
11366,48,12967.0,3.7017043263669316
11367,84,42210.0,1.990049751243781
11368,93,107060.0,0.8686717728376612
11369,291,33354.0,8.724590753732686
11370,145,28762.0,5.0413740351853145
11372,219,66995.0,3.2689006642286738
11373,128,99433.0,1.2872989852463468
11374,74,46128.0,1.604231703087062
11375,391,75320.0,5.191184280403611
11377,223,83545.0,2.6692201807409184
11378,60,37828.0,1.586126678650735
11379,74,37378.0,1.9797741987265236
11385,225,103865.0,2.166273528137486
11411,34,20501.0,1.6584556850885321
11412,199,41350.0,4.812575574365176
11413,100,45072.0,2.2186723464678737
11414,57,31090.0,1.8333869411386297
11415,20,21379.0,0.9354974507694467
11416,9,26660.0,0.33758439609902474
11417,64,30091.0,2.12688179189791
11418,50,36304.0,1.377258704275011
11419,37,46938.0,0.7882738932208445
11420,65,50060.0,1.2984418697562923
11421,35,41937.0,0.8345852111500583
11422,48,33085.0,1.4508085235000756
11423,159,29105.0,5.4629788696100325
11426,61,19638.0,3.1062226295956816
11427,40,25124.0,1.5921031682853048
11428,45,18898.0,2.381204360249762
11429,56,27933.0,2.0047971932839292
11432,112,63730.0,1.7574140906951201
11433,73,37777.0,1.9323927257325886
11434,268,67611.0,3.963852035911316
11435,141,58424.0,2.413391756812269
11436,32,21364.0,1.4978468451600826
11691,54,68704.0,0.7859804378202142
11692,28,23247.0,1.2044564890093346
11693,27,13066.0,2.066431960814327
11694,36,21430.0,1.679888007466169
11697,4,4123.0,0.9701673538685422
